Description,Code,Number of jobs (thousand),Median annual pay
All employees,,24897,32890
"Managers, directors and senior officials",1,2863,51733
 Corporate managers and directors,11,2268,57745
  Chief Executives and Senior Officials,111,142,85883
   Chief executives and senior officials,1111,133,89835
   Elected officers and representatives,1112,x,x
  Production Managers and Directors,112,591,53259
   Production managers and directors in manufacturing,1121,479,52885
   Production managers and directors in construction,1122,102,54947
   Production managers and directors in mining and energy,1123,10,63241
  Functional Managers and Directors,113,1095,69052
   Financial managers and directors,1131,430,65336
"   Marketing, sales and advertising directors",1132,216,90000
   Public relations and communications directors,1133,x,72020
   Purchasing managers and directors,1134,58,56779
   Charitable organisation managers and directors,1135,x,x
   Human resource managers and directors,1136,171,54474
   Information technology directors,1137,60,90081
   Functional managers and directors n.e.c.,1139,136,69996
"  Directors in Logistics, Warehousing and Transport",114,11,80518
"   Directors in logistics, warehousing and transport",1140,11,80518
  Managers and Directors in Retail and Wholesale,115,336,36006
   Managers and directors in retail and wholesale,1150,336,36006
  Senior Officers in Protective Services,116,18,65495
   Officers in armed forces,1161,:,
   Senior police officers,1162,14,66514
"   Senior officers in fire, ambulance, prison and related services",1163,x,x
  Health and Social Services Managers and Directors,117,76,52809
   Health services and public health managers and directors,1171,64,55879
   Social services managers and directors,1172,13,45155
 Other managers and proprietors,12,595,38949
  Managers and Proprietors in Agriculture Related Services,121,23,33018
   Managers and proprietors in agriculture and horticulture,1211,16,34976
"   Managers and proprietors in forestry, fishing and related services",1212,x,31126
  Managers and Proprietors in Hospitality and Leisure Services,122,105,31887
   Hotel and accommodation managers and proprietors,1221,17,33008
   Restaurant and catering establishment managers and proprietors,1222,46,30513
   Publicans and managers of licensed premises,1223,x,37427
   Leisure and sports managers,1224,32,33342
   Travel agency managers and proprietors,1225,x,34505
  Managers and Proprietors in Health and Care Services,123,73,40509
   Health care practice managers,1231,15,38941
"   Residential, day and domiciliary care managers and proprietors",1232,58,40661
   Early education and childcare services proprietors,1233,..,
"  Managers in Logistics, Warehousing and Transport",124,187,40481
   Managers in transport and distribution,1241,64,46734
   Managers in storage and warehousing,1242,95,36620
   Managers in logistics,1243,28,45104
  Managers and Proprietors in Other Services,125,209,41923
"   Property, housing and estate managers",1251,118,41115
   Garage managers and proprietors,1252,x,x
   Hairdressing and beauty salon managers and proprietors,1253,x,x
   Waste disposal and environmental services managers,1254,8,48927
   Managers and directors in the creative industries,1255,23,50868
   Betting shop and gambling establishment managers,1256,x,x
   Hire services managers and proprietors,1257,x,31763
   Directors in consultancy services,1258,9,73453
   Managers and proprietors in other services n.e.c.,1259,31,43382
Professional occupations,2,7031,45254
" Science, research, engineering and technology professionals",21,1711,51148
  Natural and Social Science Professionals,211,137,44243
   Chemical scientists,2111,15,39668
   Biological scientists,2112,13,43781
   Biochemists and biomedical scientists,2113,46,45269
   Physical scientists,2114,10,53142
   Social and humanities scientists,2115,11,38591
   Natural and social science professionals n.e.c.,2119,40,41706
  Engineering Professionals,212,440,50325
   Civil engineers,2121,63,50602
   Mechanical engineers,2122,55,50594
   Electrical engineers,2123,35,59930
   Electronics engineers,2124,17,51973
   Production and process engineers,2125,53,47711
   Aerospace engineers,2126,x,55817
   Engineering project managers and project engineers,2127,63,52451
   Engineering professionals n.e.c.,2129,148,47985
  Information Technology Professionals,213,918,55357
   IT project managers,2131,31,58016
   IT managers,2132,213,55502
"   IT business analysts, architects and systems designers",2133,168,59593
   Programmers and software development professionals ,2134,360,55587
   Cyber security professionals,2135,27,54816
   IT quality and testing professionals,2136,20,44973
   IT network professionals,2137,38,48294
   Information technology professionals n.e.c.,2139,62,50459
  Web and Multimedia Design Professionals,214,64,32574
   Web design professionals,2141,12,46639
   Graphic and multimedia designers,2142,52,31236
  Conservation and Environment Professionals,215,57,40520
   Conservation professionals,2151,16,37949
   Environment professionals,2152,41,41555
  Research and Development (R&D) and Other Research Professionals,216,96,52694
